Leiten	guiding
ピース	Peace
オウム	cockatoo
Kiss	亲亲
Schönheiten	beauties
Quail	wachteln
catch	Fangen
贫血症	anaemia
Inner	Inneren
purebred	reinrassige
kaufte	bought
Streut	Scatters
chromosomen	chromosome
Darja	Darya
informations	auskunft
因果報應	Karma
flieht	flee
Webpage	ウェブページ
Unsaturated	Ungesättigten
理论	doctrine
Floe	Eisscholle
teaching	Unterrichten
ジレンマ	dilemma
flight	フライト
stürmer	striker
Models	模特
豊冈	toyooka
abgeschnitten	truncated
荷爾蒙	Hormone
Erbliches	Inheritable
cypresses	Zypressen
华人	Chinese
Renovated	裝修
Ungleichmäßig	Uneven
否認	Avoidance
Webseite	Websites
meerwasser	seawater
ベース	base
Foggy	雾
program	Programm
screen	Schirm
tonight	今晩
選任	Election
Relatively	vergleichsweise
Trockener	drier
porous	Poröse
festnehmen	Arrest
Instinctive	instinktiv
Freiherr	Baron
margaret	Margarete
含有	Contains
Shoelaces	schnürsenkel
公会	guild
besetzung	Cast
Phonograph	grammophon
stanitsa	Staniza
verdauungsstörungen	Indigestion
Wettbewerb	contests
doubted	Bezweifelt
Nutztiere	Farmed
Laugen	alkalis
スベトラーナ	Svetlana
吉卜赛人	Gypsies
Confused	durcheinander
凯歌	kaige
Ecological	ökologisch
gay	Schwule
shamanism	Schamanismus
Begründungen	justifications
reisebüros	tas
Autogyro	tragschrauber
Grundlos	Groundless
Auspuffanlage	Exhaust
chinese	Chinesen
situated	Gelegen
map	地図
Scalar	スカラー
Diorama	ジオラマ
simulieren	simulated
spa	Wellness
succulent	köstlich
考え	Thoughts
Entlastung	Discharge
stadiums	stadien
笑颜	smile
paid	Bezahlte
Runes	runen
kannibalismus	cannibalism
Critical	臨界
Grundsatz	Principle
revealed	Zeigte
Signaling	シグナリング
Gemetzel	Carnage
sliding	schiebe
Goethite	goethit
パプア	Papua
イノベーション	Innovations
Betonte	emphasized
meinungen	Opinions
Millimetern	Millimeters
balanced	ausgeglichen
流產	Abortion
vorlage	Template
hofrat	Councilor
Uncertainty	Unsicherheit
explore	entdecken
aktobe	aqtöbe
戰利品	trophy
Sighs	Seufzer
besuchen	visiting
glaubt	Thinks
コパカバーナ	copacabana
internierten	internees
gentle	sanfte
photo	fotoalbum
興高采烈	cheerfully
Kugelschreiber	pen
nics	schwellenländer
marrakech	Marrakesh
liège	lüttich
Interests	兴趣
Vermessung	surveying
Representativeness	Repräsentanz
Prisoners	gefangenen
Typhus	伤寒
Fig	无花果
submitted	提交
handelsmarke	Trademark
Profitable	gewinnbringend
Oxide	oxid
herrschen	Reign
Entertainments	unterhaltungen
总是	always
舰桥	Bridge
Owner	Inhaber
Narkose	Anaesthesia
Steep	steiler
Prying	neugierigen
Nia	ニア
Verheiratete	Married
Übersetzen	Translate
Travelling	旅行
überwältigen	Subdue
加深	Deepen
impfen	Vaccinations
ケード	Cade
味道	Taste
exportieren	Export
Rezitationen	recitations
Parser	Parsing
管弦樂隊	orchestra
累積	Accumulate
Corundum	剛玉
はずれ	misses
アーティスト	artist
フライ	Fly
emanzipatorische	emancipatory
Notiert	quoted
Assistenten	wizard
meile	Mile
病院	Hospital
surgically	Chirurgisch
Symbolised	symbolisiert
メキシカン	mexican
Überbrücken	Bridging
reservieren	book
labs	labore
Aliases	decknamen
insists	Beharrt
epiphone	エピフォン
資源	resource
Maita	莳田
lend	贷す
around	围绕
Dongfeng	東風
Outlaws	banditen
discreet	diskret
jubei	十兵衛
クラック	crack
野猪	Boar
scallop	jakobsmuschel
Formalistic	formalistische
Contempt	藐視
achtfache	eightfold
Mieten	Rentals
engsten	Narrowest
Docile	温顺
グラード	Grad
Beeinflussen	Affect
Mori	森
Unskilled	ungelernte
erfindungen	inventions
協調	coordinating
zwecklos	Useless
Formuliert	worded
Drywall	Trockenbau
打电话	call
manuals	Handbuch
Ausgesetzt	suspended
delfin	dolphin
Blizzard	Schneesturm
inside	インサイド
Telescope	望遠鏡
mantis	カマキリ
严肃	Serious
yamauchi	山內
Zerlegt	decomposed
fortress	Burg
スーパーマーケット	supermarket
対角線	diagonal
edle	noble
Casket	kästchen
paleontology	Paläontologie
Move	Bewegt
リバース	Rebirth
cycling	radsport
insane	wahnsinnig
撤退	withdrawal
下請	subcontract
Backlight	Hintergrundbeleuchtung
Fewer	weniger
Burma	Birma
高速公路	Highways
Stumpf	Blunt
コリン	colin
sauer	Angry
Gelenke	joints
Nonaligned	Blockfreien
ラグ	Rug
杰出	Outstanding
Vorlagen	Templates
Trocknet	dries
Passanten	passersby
successive	Aufeinanderfolgende
沙丁鱼	sardine
Scout	童军
reize	Stimuli
追溯	Retroactive
Manage	Verwalten
Bomb	爆弾
tagebuch	Journal
enjoying	享受
massif	山块
packs	packungen
machtlos	Powerless
sirenen	sirens
ライプツィヒ	leipzig
accelerator	加速器
immediate	Unmittelbar
spring	弹簧
pick	挑选
gilded	vergoldet
list	清单
Guten	Good
ages	altersgruppen
heruntergeladen	downloaded
Ungewissheit	uncertainty
Zertifikaten	allowances
Menus	menüs
carcinoma	癌肿
读取	Reading
掃描	scan
Sex	性爱
蚂蚁	Ant
einräumen	concede
getreide	cereal
Ballungsgebieten	Conurbations
喜悅	Delight
Trait	形质
Lecturer	dozent
tage	days
Etappen	Phases
鹏	Peng
Wanted	Gesucht
geese	鹅
paläogen	Paleogene
wand	Wall
profitable	profitabel
郁子	Ikuko
宣洩	Catharsis
Monograph	专论
Veranschaulicht	illustrates
semicircle	Halbkreis
Schalmei	Shawm
Einkaufswagen	carts
Modules	Baugruppen
dictionary	辭典
grafische	Graphical
Bunte	Colourful
Gericht	tribunal
staggered	錯開
背后	Behind
aufgabenbereich	Remit
メルゼブルク	Merseburg
Aufgeflogen	blown
romania	Rumänien
暗い	dark
Wee	ウィー
Religiously	Religiös
demonstrable	Nachweisbar
Lingbao	霊宝
Compounds	Verbindungen
Testify	Aussagen
Grabs	greift
顶	Top
嚴厲	Harsh
Philharmonic	philharmoniker
Porzellane	porcelains
repressed	unterdrückten
Veröffentlicht	Posted
interpretation	interpreting
精确	Precision
resignation	辞職
碼	Yards
idiots	Idioten
银器	silverware
vertrauensvoll	trustworthy
inmarsat	インマルサット
教训	lesson
Indeed	Tatsächlich
Gabelstapler	Fork
notional	Fiktiven
fillings	填料
frontage	临街
泳ぎ	Swim
Anwälte	attorneys
书目	bibliographies
参赞	Counselor
探戈	tango
Olympic	奧運
鉄砲	teppo
Trap	圈套
Verdaut	digested
scham	shame
播放	Broadcast
合計	total
Ackerland	arable
Hides	versteckt
perseus	ペルセウス
创意	creativity
狂热	fanaticism
Allergy	过敏
Verachtet	despises
nase	Noses
motivations	motivationen
Shimane	岛根
財団	foundation
petrol	ガソリン
パドル	Paddle
Leather	Leder
Pantry	Speisekammer
Prüfsumme	checksum
Finanzamt	Irs
Bedeutsam	Meaningful
lure	köder
umgebungen	environments
Verführerisch	seductive
钟表	Clocks
Hymne	Anthem
ナホトカ	Nakhodka
Optik	Optics
note	Bemerkung
Verwalten	managing
clothes	被服
Biased	偏向
showers	duschen
波罗的海	baltic
Tone	Farbton
harder	schwerer
surveying	測量
awe	ehrfurcht
Pantyhose	褲襪
有價證券	Securities
barsch	Perch
spirits	魂灵
Friend	朋友
二	Two
cybernetics	Kybernetik
redirect	umleiten
狂気	Insane
处决	executions
Retention	Beibehaltung
虱子	lice
Symptomatischen	Symptomatic
control	控制權
Wellenlängen	Wavelengths
Rats	ratte
Ilmenite	ilmenit
敲诈	blackmail
ordinary	Gewöhnlichen
withholding	zurückhalten
rial	リアル
chair	sessel
Characteristic	Merkmal
Hoey	ホーイ
Randgebiete	periphery
门铃	Doorbell
Viper	毒蛇
serene	Heiter
Sinners	罪人
codename	コードネーム
beklagte	complained
casualties	Opfer
gesunken	Sunk
Walls	Mauer
排名	standings
海洋	ocean
Unglaublich	Incredible
derivatives	Derivaten
Bashing	抨击
Brew	釀造
rectorate	Pfarrstelle
ration	配给
Emphysema	肺気腫
Rivalries	rivalität
Ausstrahlung	charisma
Sprunghaft	Erratic
newsletters	Rundschreiben
Transport	verkehrspolitik
standardized	standardisiert
penguins	Pinguine
债権	Claims
moroccan	モロッコ
寮母	matron
Elastic	Elastische
camera	カメラ
laziness	懒惰
fluoreszierenden	Fluorescent
蕨类	fern
Slogan	標語
Gesucht	Searched
affiliations	Zugehörigkeit
Shame	羞愧
beschädigt	corrupt
Poured	gegossen
düfte	Perfumes
Partridge	鷓鴣
fliehen	Fleeing
美援	Usaid
船団	convoy
buzzard	bussard
mikrosekunden	microseconds
equivalency	äquivalenz
letters	Briefe
菜	dishes
Checkpoint	關卡
ドミニカ	dominica
Ankunft	arriving
brooms	扫帚
Specs	仕様
Eisenbahnen	Railroads
Collective	集体
Friction	磨擦
guardian	守護神
Effektivität	effectiveness
zinnen	Battlements
nachtleben	Nightlife
einrichtung	setup
preisgestaltung	Pricing
不寒而慄	chilling
Slots	Slot
vergleichen	diff
Muriel	ミュリエル
fighter	Fighters
One	einer
Authoritarianism	专制主义
リップル	ripple
dominance	vorherrschaft
Vollgas	Throttle
Gears	Getriebe
神農	shennong
balanced	Ausgewogene
juristische	juridical
teru	テル
Effizienz	efficiencies
視網膜	Retinal
verkehrspolitik	transport
Ölfelder	Oilfields
homöopathie	homeopathy
狂気	Insanity
デスク	desk
Recommend	Empfehle
confused	verwirrt
站立	Standing
Interpreter	Dolmetscher
vacancies	Freie
umkehrung	inversion
boatman	船头
wikileaks	ウィキリークス
verknüpfte	Linked
morning	vormittags
viel	Lots
世仇	Feud
幻灯片	slideshow
spices	gewürze
Japanese	日本语
Solicit	erbitten
地址	Address
horizontale	Horizontal
decree	Dekret
Succeeded	Gelungen
reproduced	abgedruckt
Wiederkehrende	Recurrent
Disadvantaged	Benachteiligung
Heizkessel	boilers
Journalisten	journalists
Tomonaga	朝長
extrasolaren	extrasolar
Deputies	Abgeordneten
postman	郵差
Erinnern	Remember
infinite	unendliche
diagnostische	Diagnostic
tonsur	tonsure
Alexei	Alexey
Evgeny	Jewgeni
Überwiegend	largely
zwinger	Kennels
interviews	面谈
owen	オーエン
choke	Erwürgen
コマーシャル	Commercial
zusammengelegt	pooled
funktion	feature
Work	Arbeit
rohstoff	Raw
sneeze	打喷嚏
explorer	entdecker
Controller	Regler
運行	run
ugric	Ugrische
选任	Appointment
sculptors	Bildhauer
formell	formal
articulated	artikulieren
Epoxy	环氧树脂
Explicit	Eindeutig
älteste	Eldest
Diamond	Diamanten
such	So
ergänzt	complements
folgend	Following
Frühen	Early
Bankgeschäfte	banking
octagon	八角形
Warts	いぼ
Pursued	weiterverfolgt
烏鴉	crow
standard	serienmäßig
Warst	Wast
Vierteljährlich	Quarterly
Alberti	アルベルティ
Tables	Tabellen
Brittany	bretagne
Ausschließen	Excluded
Thrombose	Thrombosis
Kovel	kowel
Verdunstung	Evaporation
polynesian	Polynesische
Proceeds	代価
Profis	Professionals
Hatch	luke
指令	directives
textilien	Textiles
Ausstrahlen	emit
kapsel	pod
bomb	Bombardieren
koran	qur
Sports	運動
Zertifizierung	Certifications
Brother	Bruder
materialism	Materialismus
膠	Glue
桑田	Kuwata
minicab	ミニキャブ
Seam	flöz
Rose	Stieg
Kommandiert	Commanded
finally	終於
groceries	einkäufe
Fertilisers	düngemittel
Extraterritorial	域外
混乱	confused
Streifen	Streaks
eez	awz
Finalise	Fertigstellung
人口	Demographic
通勤	Commuting
Appeals	呼吁
Homologous	homologen
Abwasserentsorgung	Sanitation
ファクス	fax
Tschuldigung	sorry
relieved	entlastet
Challenges	Herausforderung
weint	weep
Bigger	较大
餘額	balance
月光	Moonlight
Proclamation	Verkündung
Bills	Wechsel
Imagination	想象
Explicit	explizit
允許	permission
Intruder	Eindringling
对比	contrast
Church	教會堂
Sand	sandstrände
complex	Komplexer
袭击	Attack
cardboard	Kartons
Spielbarkeit	Playability
Außenposten	Outpost
Running	運行
phonetische	Phonetic
Small	小型
report	檢舉
Express	ausdrücken
Lends	Verleiht
dobritsch	Dobrich
Also	ebenso
常态	Normal
Principality	公國
Bewegungsfreiheit	movement
warriors	ウォリアーズ
disclosure	unterrichtung
Territorialer	Territorial
Laptops	notebooks
flat	フラット
shrew	Spitzmaus
Recursive	rekursive
balcony	balkon
Sharing	共用
entferne	Remove
savagery	野蛮
Langeweile	Bored
cup	Pokal
Übertreibung	exaggeration
盎格魯	angles
Northwestern	Nordwestlichen
Bargaining	討價還價
モイラ	moira
Gems	edelsteinen
Politik	Policy
titow	titov
手動	Manual
astonishment	Erstaunen
undermining	untergräbt
咖啡館	café
adrian	エイドリアン
旋轉	spin
Aufschieben	postpone
Rash	Ausschlag
替代品	Substitute
Genesis	Entstehung
近海	Offshore
Extrakte	Extracts
合成	Composition
beschriftung	caption
pedestal	Sockel
Hubschraubern	helicopters
Konventionen	conventions
indirect	Indirekt
unterstützer	supporter
ungebildet	Uneducated
Custody	保管
pools	Schwimmbecken
Axioms	Axiome
gefahren	danger
Prayer	gebete
Latch	Riegel
gran	グラン
Transformation	转变
Heresy	Ketzerei
Inductors	インダクタ
cuisine	美食
Meant	meinte
fledermäuse	Bat
Okay	Ok
rumor	傳聞
Programming	programmiersprachen
Stichtag	deadline
listening	höre
servant	傭人
Unterbrochen	interrupted
櫃臺	counters
Bat	コウモリ
適應性	Adaptability
restriktive	Restrictive
disgrace	Schande
向导	guide
vorträge	lecture
ladung	summons
素晴らしい	wonderful
geheimnisse	secrets
insight	einsichten
Sights	景點
Beschlagnahme	confiscation
Ausschreibungen	tendering
chambers	Kammer
Councils	räte
aviation	luftverkehr
窗帘	Curtain
Duckburg	Entenhausen
confusion	混亂
Slowenischen	Slovene
unerwartetes	unexpected
矮人	Dwarf
enthusiastic	begeisterte
ähnelt	resembles
Seriöse	reputable
Linearity	Linearität
factual	sachlich
移位	Shifting
Unfavourable	Ungünstig
Clean	干净
清洁	cleaning
规划	planning
Verbittert	bitterness
ジャックス	jacks
Ineffective	wirkungslos
レムス	remus
Korchnoi	kortschnoi
underlining	下線
天王寺	tennoji
Psychologie	psychologists
umsätze	Transactions
Seltener	Rarer
strassen	Streets
burial	Beerdigung
誓约	Pledge
Töpfe	Pots
disappointing	Enttäuschenden
Tabellarische	Tabular
entfernung	removal
Kanten	Edge
Angeschlossen	affiliated
Twine	Schnur
unhealthy	不健康
complimentary	gratis
アカデミー	Academies
Apotheosis	apotheose
Korsakov	korsakow
sfrj	Sfry
Specialization	spezialisierung
stören	Disturb
überwunden	overcame
范	fan
disgusted	ekel
emeritus	emeritierung
schalldämpfer	silencers
cube	Würfeln
exclusively	ausschliesslich
Pfahl	pole
羅盤	compass
同窓會	alumni
kochen	cook
prosecute	Strafverfolgung
dystonie	dystonia
果糖	Fructose
Hierarchien	Hierarchical
カタリナ	catalina
新幹線	shinkansen
lauern	Lurking
Shade	シェイド
videotape	錄影帶
environmentally	Umweltfreundliche
Zitierte	Cited
豪豬	porcupine
Extensively	ausgiebig
prefix	プレフィックス
prepayment	予纳
risk	Gefährdung
processing	处理
carousels	karussells
Interpretiert	Interpreted
字元	Character
threw	warfen
说教	Sermons
contortions	Verrenkungen
adapted	angepasste
Exceptional	ausnahmsweise
Inconsistent	不一致
mjaskowski	myaskovsky
conductors	dirigenten
索引	index
acquaintance	Bekannte
Verwirklichung	realisation
Laboratory	化驗室
Expired	Abgelaufenen
Ribosomes	ribosomen
Reiko	玲子
站立	Stand
Discard	舍弃
Subcamp	außenlager
ネイビー	Navy
醫師	doctor
窗	Window
kombattanten	combatants
farbton	tone
misrepresentation	falschdarstellung
drei	Threes
pessimismus	pessimistic
hikari	ひかり
Pool	schwimmbecken
Portal	pforte
Intensiv	intense
flying	飛ぶ
halten	keeping
圆形	Circular
unterzeichnung	Signature
星期三	wednesday
Einberufung	Conscription
platonisch	Platonic
Everquest	エバークエスト
Riots	騷亂
Erkundung	reconnaissance
innings	イニング
Ape	猩猩
人民	People
桶	Barrel
superficial	肤浅
lonely	寂しい
繁	shigeru
Bibliographic	Bibliographischen
緊縮	austerity
Occurrence	vorkommen
chasm	Abgrund
ハフナー	Haffner
Interacting	Interagieren
facilitate	Erleichtert
Persistence	hartnäckigkeit
Hinduism	印度教
Geiseln	hostage
团体	Groups
不整脉	Arrhythmia
Handelsrecht	Mercantile
hereinafter	Nachstehend
Trucker	truckers
rocking	ロッキング
iphones	Iphone
gutscheine	Coupons
marinid	meriniden
cried	weinte
Races	wettrennen
expire	auslaufen
Verdichten	Compacting
Ruhm	glory
undergraduate	本科
Aquitaine	aquitanien
大乘	Mahayana
救世主	Savior
Feminine	weiblich
Undergrad	本科
aufgehoben	Abolished
merritt	メリット
treppen	staircases
levels	レベル
Sonden	Probe
Kompiliert	Compiles
belebten	Crowded
innumerable	zahllosen
Typing	tippen
Cooling	Kälte
Praise	賞賛
Migriert	migrated
Dating	Partnersuche
Checkpoint	grenzübergang
produktpalette	portfolio
Neil	jutta
lesbe	Lesbian
teenager	jugend
Phineas	フィニアス
熱門	popular
劣化	degradation
Kkp	pps
bernsteinsäure	Succinic
Marriage	婚姻
neuer	ノイアー
Famine	饑荒
Kleiderschrank	closet
奥运	Olympic
joke	witz
Trunkenheit	Intoxication
federations	Verbänden
裝置	Device
Hierarchische	Hierarchical
Pleasant	angenehme
Songwriting	ソングライター
bra	ブラ
Subjugation	討伐
gedankenstrich	Hyphen
stiftung	Foundation
diarrhoea	durchfall
narrated	ナレーション
后ろ	behind
Structure	构造
Diabetiker	diabetes
Shout	Rufen
Radiometric	Radiometrische
Disc	Scheibe
negativen	Adverse
Supervisory	aufsichtsrats
Community	Gemeinschaft
Ingredients	食材
schürze	Apron
Getränk	Beverages
Autoritarismus	authoritarianism
tick	aktivieren
twinning	配对
Jump	Springen
säure	acid
launch	start
潜水舰	Submarine
Priesthood	神職
diarrhoea	腹泻
Excavation	挖掘
Appendicitis	blinddarmentzündung
Brewer	Brauerei
tulips	チューリップ
Skizze	Diagram
Grandchildren	enkelkinder
engsten	closest
Fragments	フラグメント
outing	郊游
Handwerklichen	artisanal
Liebsten	dearest
discreet	Diskret
guarantee	bürgschaft
Pakistanis	Pakistaner
Veil	面纱
gartens	gardens
pillaging	掠夺
Ruderboot	rowboat
Inclined	geneigt
嘲讽	parody
mirrored	Gespiegelt
verfügung	Disposition
定向	directional
Olive	オリーブ
savagery	grausamkeit
ゴルトシュミット	Goldschmidt
recombinant	Rekombinante
Smoking	nichtraucher
Tektonische	tectonic
Atsushi	笃志
Functionality	Funktionen
kowaljow	Kovalev
Quitting	feierabend
色調	tone
トリッキー	tricky
Reinmuth	königstuhl
圣经	Bible
mikroelektronik	microelectronic
Wassersport	Watersports
优子	yūko
獨木舟	kayaking
指向	pointing
Visa	visum
Juckreiz	itching
nursing	krankenschwester
プテラノドン	pteranodon
mangelhaft	Deficient
ongoing	Fortlaufend
models	模型
scenery	Kulisse
準時	Punctual
Dissatisfaction	不満
lumpen	rags
Unrealistic	Unrealistisch
landscape	景观
Abschlussprüfung	Finals
cession	割让
polls	umfragen
コンサート	concerts
ebenda	Ibid
Hervorgehoben	Highlighted
Lyrical	Lyrische
überleben	Survive
住民	resident
Beanspruchung	claiming
Defekt	Defective
migrate	auswandern
industriell	industrial
slices	Scheiben
resonance	共振
Falls	Sturz
Flüsse	Rivers
Wing	flügel
Blowers	Ventilatoren
nationen	nation
coated	Bestrichen
Chillicothe	チリコシー
Tantrum	駄々っ子
爪	claws
Barock	baroque
complement	ergänzung
ミッシャ	Mischa
施設	institution
タコス	Taco
浅川	asakawa
geographical	geographische
kitkat	奇巧
umfassende	comprehensive
breweries	Brauereien
ガント	gant
enjoyable	angenehm
Stole	geklaut
请求	Billing
longitude	breitengrad
Transformations	transformationen
validated	validierung
meditation	besinnung
trumpeter	トランペッター
Reinigen	Purify
bargaining	Verhandeln
宫岛	Miyajima
Austerity	sparmaßnahmen
fahrer	Drivers
fridays	Freitag
地理	geography
Boycotts	抵制
Participation	參加
顶端	Top
プラカード	Placard
Skins	Häute
shed	Schuppen
种姓	Castes
Require	Benötigen
castle	schloss
Stele	石碑
quail	鹌鹑
押す	Push
Evakuierung	Evacuation
bonds	Schuldverschreibungen
klägerin	Applicant
lewis	ルイス
veräußern	divest
Human	menschlicher
manzai	萬歳
Mistress	情婦
グラインド	grind
jahreszeiten	Seasonal
voters	Wählern
grosse	Large
ambulatory	Ambulante
Saugen	sucking
Editable	Editierbar
灌輸	indoctrination
fotografische	photographic
Pastry	backwaren
melasse	molasses
schāhnāme	Shahnameh
greeting	Gruss
排名	Rankings
Anspielungen	allusions
mertajam	山腳
Cruz	クルス
引號	Quotes
Dove	鸽
dress	kleider
Routinemäßig	Routine
Differentiated	Differenzierte
superiority	優勢
gebäude	buildings
ボリューム	Volume
Consignments	sendungen
开腹	Laparotomy
Display	Anzeige
Placement	platzierung
视野	Visualize
相思病	lovesick
ティラピア	Tilapia
seesaw	Wippe
überblick	Summary
pressemitteilungen	Press
ハザル	chazal
Tiye	teje
警示	alerts
ダース	Dozen
soldering	löten
Buckle	扣
Kompensieren	Offsetting
vergrößern	expand
Wärmepumpen	Pumps
Schulterblatt	Scapula
協議	Consultation
スローガン	slogans
Partition	partitionen
agitation	鼓动
Northwestern	nordwestlichen
endemisch	Endemic
Lautsprecher	loudspeaker
猜猜	guess
Kippen	tilt
Dispassionately	leidenschaftslos
Energische	Forceful
Crossings	kreuzungen
婚约	Fiancee
Sandstrände	Sandy
Smuggled	geschmuggelt
ikonographie	iconography
Human	menschlichen
must	Muß
undertone	unterton
positioning	positionierung
bevölkerung	populations
leuchtende	Luminous
紡	spun
pathogen	erreger
crosses	Kreuzt
Military	軍隊
expressways	高速公路
垂直	Vertical
obstruction	阻礙
signing	签约
慈善	Charitable
compound	Verbindung
药房	pharmacies
相谈	Consultations
astrologie	astrology
オクターヴ	octave
Failing	Versagen
Conservatism	保守
stoffwechsel	metabolic
ハボック	Havoc
Elektrotechnik	electronics
羅漢	Lohan
perhaps	Eventuell
Zentralheizung	Heating
香氣	Aroma
kleinerer	smaller
rung	geläutet
殷	Yin
tattooing	Tätowierung
合伙人	Partner
Elementar	elemental
beg	乞求
Kassetten	cassette
Highlighter	萤光笔
concessions	Konzessionen
verdächtige	suspicious
Catcher	捕手
Fabulous	fabelhafte
Blood	blutes
Publisher	Verlag
spouses	ehepartner
lagerfeuer	bonfire
ineffizient	Inefficient
Mire	sumpf
Unterscheiden	differ
Challenging	Anspruchsvoll
junko	纯子
開心	Happy
digestion	Verdauen
egks	ecsc
Landvermesser	surveyor
Zielgerichtete	Purposeful
voluntary	Freiwilligkeit
tyre	Reifen
klimatisiert	conditioned
Associated	verbunden
granary	Kornkammer
隠棲	Seclusion
Detail	einzelheiten
abstoßend	Repugnant
yom	ヨム
Fotobuch	Photobook
Neue	new
Überzeugende	Compelling
Solvable	Lösbar
Falten	Creases
unit	單元
Panda	パンダ
Handball	ハンドボール
Destructiveness	destruktivität
Kompressoren	compressors
dragon	神龍
Strangled	绞杀
offenbaren	Reveal
convulsions	Krampfanfälle
Wealthy	富有
close	關閉
胁迫	intimidation
eintauchen	dive
Cables	ケーブル
演講	lectures
Innersten	innermost
Lupine	羽扇
tipp	tip
minderheiten	minority
Revolver	Pistole
unerhört	outrageous
spürt	senses
加賀	kaga
Awesome	hammer
humidity	feuchtigkeit
地區	District
discursive	Diskursive
interactions	相互作用
coauthors	mitautoren
Arrays	アレイ
Sidings	Abstellgleise
Slide	滑
standardization	Normung
荣耀	glory
Fused	Geschmolzen
父母親	parents
Sort	ソート
nachwuchs	Offspring
God	Allah
Pilz	fungal
Geprüft	checked
rollen	Roll
unmöglichkeit	Impossibility
concern	关切
Continuation	続き
total	共計
planen	plan
Duette	duets
发电机	Generators
Munition	ammunition
Pomegranates	granatäpfel
howl	Heulen
Svetlana	スベトラーナ
Translation	翻譯
Redhead	rothaarige
Dedications	Widmungen
Brokered	vermittelten
meteor	隕石
haul	hol
フェートン	phaeton
Landzunge	headland
Commodity	ware
Meer	Ocean
Tragisch	Tragedy
Fat	Fettgehalt
clearer	klarer
pfirsich	peaches
kleinste	tiniest
comfort	bequemlichkeit
angleichung	Alignment
Hinges	铰链
ベラ	bella
Omit	auslassen
downgrading	降級
Helfer	helpers
Doppelgänger	Doppelganger
cannonballs	Kanonenkugeln
uppercut	アッパー
Aufgenommen	admitted
Hungarian	Ungarischer
Summer	夏季
Verzehnfacht	Tenfold
stottern	stutter
bell	Glocke
道后	dogo
Clash	Kampf
april	エイプリル
eingegriffen	intervened
認真	serious
schatten	shades
北	north
洗面所	restroom
Belive	Glaube
Magnitude	ausmaß
サンズ	Sands
Behavior	Benehmen
Öresund	øresund
ゴンサレス	González
tramway	Straßenbahn
Problematisch	Problematic
Fahren	Drive
Marginalisation	Ausgrenzung
Iota	イオタ
滞在	Stayed
Penetrance	Penetranz
overheated	überhitzt
Stichprobe	sampled
代理商	Agency
Increase	増加
ufer	Shoreline
feindseligkeit	Animosity
hirsch	deer
duran	デュラン
kovalchuk	Kowaltschuk
reparations	reparationen
primal	Ursprünglicher
公示	publicity
Initials	頭文字
シュローダー	Schroeder
fabriken	factories
权力	powers
Eintauchen	dive
schaefer	Schäfer
Umgedreht	Flipped
Changeable	Wechselhaft
layout	gliederung
prince	亲王
Storming	stürmen
bartgeier	blackcap
erwachsener	Adults
scholastik	scholasticism
freiwilligen	volunteers
Nationalisten	nationalists
Rasenmäher	Lawnmower
away	Weg
methodische	methodical
indifferent	無関心
extremitäten	limbs
Infringement	verletzung
subtraktion	Subtraction
doktortitel	phd
saving	Ersparnis
Parrots	papageien
Angiogenesis	Angiogenese
Aarau	アーラウ
Sold	卖
Algae	藻类
disdain	鄙视
Gegoogelt	Googled
granddaughter	孫女
顏色	Colours
colourless	farblos
Earning	Verdiene
Besucht	visited
道弘	michihiro
Theme	themenkreis
关节	joint
燕尾服	tuxedo
relocation	umsiedlung
Wasserfrei	Anhydrous
beaten	geschlagen
solving	problemlösung
Habitats	lebensräume
ディヤルバクル	diyarbakır
Cage	笼
除外	Excluding
プリミティブ	Primitives
Perpetrators	verursacher
Götzendienst	idolatry
儿科	Peds
阵列	array
ナス	eggplant
Liter	litre
canterbury	カンタベリー
Correctly	正しく
Vermeidung	Avoid
crosses	Kreuzen
宿泊	lodging
同じく	Likewise
Sign	署名
meteorological	meteorologischen
Peoples	völkern
understands	Verstehe
Nowgorod	novgorod
主权	sovereignty
herrschen	reign
estimates	估計
Scrutiny	精査
Tide	潮汐
fifths	fünftel
irrer	Maniac
rap	说唱
gottorp	gottorf
list	Aufstellung
keeping	Behalten
緊湊	compact
Stagnierte	Stagnated
Deterred	Abgeschreckt
Tournaments	锦标赛
網路	networks
Falke	hawk
Erholung	Recuperation
stupid	Dummkopf
Einrichtung	furnishings
angefochten	challenged
Informational	informations
cherish	チェリッシュ
Capable	Fähiger
required	notwendig
spaziergang	walking
Summary	Zusammenfassung
準則	guideline
绘图	mapping
Rekonstruiert	reconstructed
雨傘	Umbrellas
Touristic	touristischen
Sheets	blätter
ナオミ	naomi
comparisons	比较
Sexual	Sexuell
Berührt	touches
Gesicherten	hedged
koordinierung	Coordinating
jordan	ヨルダン
Ask	frage
gartenbau	horticulture
安彦	Yasuhiko
Rechtliches	Legal
textile	织物
fountains	brunnen
デリミタ	Delimiters
Voicemail	anrufbeantworter
Achtern	aft
Gegenangriffe	counterattacks
retreat	退却
對比	comparison
Mining	鉱業
unvorsichtig	Careless
rize	リゼ
Dispose	Entsorgt
chopsticks	stäbchen
Zaumzeug	Bridle
Invest	Investieren
feuerte	Fired
excessive	übermäßige
Forstwirtschaft	forestry
sohle	soles
yamanote	山手
levies	Umlage
procedure	prozedur
成都	Chengdu
hühnervögel	galliformes
Zusammenhänge	Contexts
Makler	realtor
